repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
nutsdb/nutsdb,158,4,0,4,0,4,100.00,1,0,1,0,9,6,9,2,26,1052,1394,75.0,75.0,1,1,1
NVIDIA/k8s-device-plugin,200,57,6,50,1,51,89.47,8,0,0,8,26,46,321,2,397,952,1197,84.2,75.4,23,45,75
nxtrace/NTrace-core,240,97,53,44,0,44,45.36,13,0,0,13,20,48,110,2,196,807,814,74.2,62.9,37,110,110
nytimes/gizmo,227,84,49,0,35,35,41.67,57,5,10,42,27,4,134,2,407,806,853,73.8,65.5,0,0,54
oapi-codegen/oapi-codegen,160,16,5,0,11,11,68.75,0,0,0,0,8,17,45,2,168,1147,1340,93.8,93.8,20,38,86
oauth2-proxy/oauth2-proxy,245,102,85,13,4,17,16.67,20,1,6,13,36,42,230,2,349,734,692,75.5,64.7,13,25,49
OffchainLabs/prysm,252,109,64,45,0,45,41.28,22,0,0,22,101,167,800,2,1893,814,785,78.9,66.1,79,169,258
offen/docker-volume-backup,237,94,34,60,0,60,63.83,19,6,4,9,26,74,254,2,778,758,741,74.5,63.8,34,120,125
OJ/gobuster,214,71,0,71,0,71,100.00,21,0,1,20,7,13,31,2,56,748,785,69.0,60.6,4,9,24
okteto/okteto,278,135,57,78,0,78,57.78,23,12,11,0,72,201,881,2,1394,810,785,78.5,66.7,192,443,571
olekukonko/tablewriter,157,3,0,3,0,3,100.00,1,0,1,0,7,5,7,2,21,944,1413,66.7,66.7,10,15,20
oliver006/redis_exporter,189,46,31,5,10,15,32.61,0,0,0,0,6,10,46,2,69,724,740,67.4,58.7,25,77,181
ollama/ollama,248,105,49,43,13,56,53.33,27,0,0,27,39,56,125,2,404,783,702,75.2,66.7,358,560,560
olric-data/olric,165,22,6,15,1,16,72.73,0,0,0,0,17,19,97,2,253,1203,1372,95.5,95.5,22,53,78
ondrajz/go-callvis,157,14,0,3,11,14,100.00,1,0,1,0,3,7,15,2,28,1036,1311,85.7,85.7,1,2,15
onsi/ginkgo,187,44,1,42,1,43,97.73,6,0,5,1,10,18,50,2,84,940,1214,81.8,75.0,45,83,114
open-policy-agent/conftest,255,112,20,92,0,92,82.14,22,3,6,13,34,129,634,2,869,783,795,76.8,66.1,26,63,98
open-policy-agent/gatekeeper,247,104,20,84,0,84,80.77,22,0,0,22,46,103,567,2,797,833,916,76.9,69.2,46,102,141
open-policy-agent/opa,238,95,16,73,6,79,83.16,19,0,0,19,54,61,161,2,336,773,785,73.7,63.2,45,112,215
open-telemetry/opentelemetry-collector,162,18,5,3,10,13,72.22,1,0,1,0,6,7,44,2,63,931,1066,83.3,83.3,4478,5894,6151
open-telemetry/opentelemetry-ebpf-profiler,194,51,8,42,1,43,84.31,0,0,0,0,36,54,120,2,233,911,1171,80.4,74.5,12,16,16
open-telemetry/opentelemetry-go,155,0,0,0,0,0,0.00,0,0,0,0,8,4,13,2,27,,,,,,,26
openai/openai-go,191,48,4,44,0,44,91.67,11,2,0,9,4,12,33,2,51,997,1267,83.3,77.1,1,1,1
openbao/openbao,288,145,104,27,14,41,28.28,21,0,0,21,130,213,810,2,1421,750,695,78.6,61.4,82,177,189
openclaw/gogcli,229,86,45,41,0,41,47.67,20,6,1,13,13,38,257,2,312,782,852,73.3,65.1,20,28,28
opencloud-eu/opencloud,205,62,55,6,1,7,11.29,0,0,0,0,114,279,1179,2,2266,888,995,83.9,69.4,43,59,59
opencontainers/image-spec,155,0,0,0,0,0,0.00,0,0,0,0,1,0,0,1,3,,,,,,,25
opencost/opencost,256,113,22,91,0,91,80.53,23,2,6,15,55,165,586,2,904,814,785,76.1,68.1,288,555,558
openfga/openfga,237,94,18,55,21,76,80.85,7,0,2,5,53,91,363,2,605,804,701,86.2,75.5,60,113,113
openimsdk/open-im-server,254,111,21,90,0,90,81.08,1,1,0,0,38,176,536,2,882,872,960,76.6,71.2,68,142,142
openkruise/kruise,287,144,60,83,1,84,58.33,31,0,0,31,38,101,437,2,651,791,646,83.3,75.7,18,40,54
